Date,AGIX,AMT,BRK-B,CAT,COST,GE,GLD,JNJ,MSFT,MU,NEE,NVDA,PLD,SPY,UNH,V,VTRS,XLP,XOM
2024-09-20,24.686153411865234,219.1620330810547,455.30999755859375,359.8336486816406,898.5414428710938,185.28848266601562,242.2100067138672,156.28192138671875,429.3076477050781,90.3318862915039,78.60658264160156,115.81903076171875,118.29047393798828,556.8113403320312,551.5729370117188,281.06158447265625,10.572443962097168,78.8153076171875,108.814208984375
2024-09-23,24.80626106262207,220.2902069091797,454.9800109863281,362.1263732910156,908.5474243164062,186.51429748535156,242.67999267578125,155.3870391845703,427.57177734375,92.9852066040039,80.56319427490234,116.07862854003906,119.38410949707031,558.202880859375,550.0476684570312,284.8713684082031,10.64670181274414,79.27229309082031,110.78716278076172
2024-09-24,24.953933715820312,220.4766845703125,454.55999755859375,376.5267028808594,893.1519775390625,187.49302673339844,246.07000732421875,154.96815490722656,423.29119873046875,93.41251373291016,80.05978393554688,120.68143463134766,119.4312515258789,559.7999267578125,551.7552490234375,269.227783203125,10.628137588500977,79.08148956298828,110.4945297241211
2024-09-25,25.026784896850586,219.69349670410156,452.3599853515625,369.0338134765625,899.9679565429688,187.16677856445312,245.72999572753906,152.89276123046875,426.19091796875,95.17145538330078,80.37323760986328,123.31730651855469,118.2150650024414,558.5653076171875,552.82958984375,266.1188049316406,10.461058616638184,78.88113403320312,108.34221649169922
2024-09-26,25.23155975341797,216.0945587158203,454.17999267578125,381.4341735839844,893.052978515625,182.75119018554688,246.97999572753906,153.64486694335938,425.40191650390625,109.19326782226562,79.27144622802734,123.84648895263672,118.06421661376953,560.7797241210938,551.3906860351562,268.1519775390625,10.785934448242188,79.06240844726562,106.48255157470703
2024-09-27,24.986421585083008,214.74261474609375,457.4700012207031,381.5513000488281,877.3801879882812,183.53334045410156,245.02000427246094,153.65435791015625,422.1569519042969,106.82814025878906,80.2972412109375,121.21060180664062,118.40361022949219,559.9664916992188,558.143798828125,271.5867004394531,10.72096061706543,79.20552062988281,109.3333969116211
2024-09-30,25.009065628051758,216.83111572265625,460.260009765625,381.5903015136719,878.2717895507812,186.7014617919922,243.05999755859375,154.28269958496094,424.40570068359375,103.06182098388672,80.28772735595703,121.25054931640625,119.05413818359375,562.21044921875,560.8585205078125,271.3695068359375,10.776653289794922,79.18643188476562,110.65499114990234
2024-10-01,24.50598907470703,216.374267578125,457.4100036621094,382.8293762207031,869.2167358398438,184.4441680908203,245.61000061035156,154.216064453125,414.9273376464844,99.68307495117188,80.9906005859375,116.81746673583984,117.47968292236328,557.173828125,559.5347900390625,273.98504638671875,10.665265083312988,78.91929626464844,113.21321868896484
2024-10-02,24.69599723815918,216.19711303710938,456.6700134277344,384.4488220214844,870.356201171875,184.582763671875,245.66000366210938,153.4354248046875,411.4161682128906,99.2259521484375,81.142578125,118.6645736694336,117.07429504394531,557.4090576171875,568.177734375,273.3928527832031,10.64670181274414,78.25145721435547,114.71417236328125
2024-10-03,24.712732315063477,213.77294921875,452.9599914550781,381.56103515625,867.5226440429688,182.0581817626953,245.49000549316406,152.7975616455078,410.834228515625,101.18363952636719,80.78165435791016,122.65834045410156,115.0567398071289,556.3900756835938,568.5997924804688,273.2546081542969,10.609573364257812,77.46915435791016,115.71481323242188
